Benchmark                                                  (entities)  (entityCount)   Mode  Cnt    Score     Error   Units
ComponentManagerBenchmark.queryIteration_ReadWrite                N/A           1000   avgt    5    0.015 ±   0.018   ms/op
ComponentManagerBenchmark.queryIteration_ReadWrite                N/A          10000   avgt    5    0.175 ±   0.287   ms/op
ComponentManagerBenchmark.queryIteration_ReadWrite                N/A         100000   avgt    5    1.568 ±   2.014   ms/op
ComponentManagerBenchmark.queryIteration_ReadWrite                N/A        1000000   avgt    5   15.369 ±  16.312   ms/op
ComponentManagerBenchmark.queryIteration_Update                   N/A             10   avgt    5   ≈ 10⁻⁴             ms/op
ComponentManagerBenchmark.queryIteration_Update                   N/A            100   avgt    5    0.002 ±   0.002   ms/op
ComponentManagerBenchmark.queryIteration_Update                   N/A           1000   avgt    5    0.016 ±   0.019   ms/op
ComponentManagerBenchmark.queryIteration_Update                   N/A          10000   avgt    5    0.165 ±   0.226   ms/op
ComponentManagerBenchmark.queryIteration_Update                   N/A         100000   avgt    5    1.515 ±   1.724   ms/op
ComponentManagerBenchmark.queryIteration_Update                   N/A        1000000   avgt    5   15.876 ±  19.754   ms/op
ComponentManagerBenchmark.throughput_MaximalIteration             N/A         100000   avgt    5    1.139 ±   0.647   ms/op
ComponentManagerBenchmark.throughput_MaximalIteration             N/A        1000000   avgt    5   18.583 ±   7.184   ms/op
